date,section,file,change_type,description,expected_impact,commit
2026-05-05,layout,layout/theme.liquid,reorder,"Moved <meta charset>, viewport, X-UA-Compatible, theme-color to be the first tags in <head> (HTML spec compliance — must be in first 1024 bytes)",Faster early parsing and SEO; prevents charset reparse,91d353a
2026-05-05,layout,layout/theme.liquid,defer,"Deferred GA4 (gtag.js) to load on first user interaction (scroll/click/touch/key/mouse) or after 3s timeout — matches existing GTM/Clarity/Bing pattern",Reduces TBT and main-thread blocking on initial load (~150ms+),91d353a
2026-05-05,layout,layout/theme.liquid,preconnect,"Added preconnect for cdn.shopify.com and www.googletagmanager.com; added dns-prefetch for cdn.jsdelivr.net, www.clarity.ms, checkout-merchant.snapmint.com",Saves ~100-200ms on third-party round-trips,91d353a
2026-05-05,layout,layout/theme.liquid,defer,"Added defer attribute to slick-carousel JS loaded from jsdelivr (was render-blocking)",Removes render-blocking script on non-index/product pages,91d353a
2026-05-05,layout,layout/theme.liquid,non-blocking-css,"Slick-carousel CSS now uses media=print + onload swap pattern with noscript fallback (was render-blocking)",Removes render-blocking stylesheet,91d353a
2026-05-05,layout,layout/theme.liquid,conditional-load,"Snapmint payment script (mid=6233) now only loads on product/cart/checkout templates instead of every page",Saves ~50KB JS download on home/collection/blog/etc.,91d353a
2026-05-05,layout,layout/theme.liquid,consolidate,"Merged three separate inline <style> blocks (.whatsapp FadeIn, article-only, main) into one block; removed extra whitespace within rules",Slightly smaller HTML payload and fewer style recalculations,91d353a
2026-05-05,Featured-Cards-Carousel,sections/Featured-Cards-Carousel.liquid,cls-fix,"Replaced broken inline aspect-ratio cascade (img position:absolute caused ancestor height collapse) with aspect-ratio:16/9 directly on .swiper-slide. Slide height is now reserved before Swiper initializes",Eliminates CLS 0.744 → ~0 on this section,308d93d
2026-05-05,Featured-Cards-Carousel,sections/Featured-Cards-Carousel.liquid,cls-fix,"Removed opacity:0 → carousel-ready hack. First slide now visible immediately on paint",Improves LCP timing for above-fold carousel,308d93d
2026-05-05,Featured-Cards-Carousel,sections/Featured-Cards-Carousel.liquid,picture-element,"Replaced dual <img> (desktop+mobile both eager+fetchpriority=high) with single <picture> element using <source media> on first slide. Browser fetches only the matching image",Saves one full image download (~200-500KB) on every visit,308d93d
2026-05-05,Featured-Cards-Carousel,sections/Featured-Cards-Carousel.liquid,cleanup,"Removed legacy inline <style> that absolute-positioned images out of normal flow (was the root cause of the CLS chain)",Cleaner cascade; allows external CSS to drive layout,308d93d
2026-05-05,header,sections/header.liquid,deduplicate,"Extracted 4× duplicated chevron-down SVG paths into snippets icon-account-chevron-mb.liquid and icon-account-chevron-dec.liquid (rendered 2× each)",Reduces HTML payload by ~1KB per page and improves cacheability,d071807
2026-05-05,header,sections/header.liquid,minify,"Minified inline <style> block: removed comment, collapsed whitespace, single-line rules",Smaller HTML payload sent on every page,d071807
2026-05-05,header,sections/header.liquid,conditional-load,"Gated cart-notification.js to only load when settings.cart_type == 'notification' (previously loaded on every page)",Saves a JS request when cart_type is drawer/page,d071807
2026-05-05,image-banner,sections/image-banner.liquid,non-blocking-css,"Replaced render-blocking stylesheet_tag with media=print + onload swap and noscript fallback for section-image-banner.css",Removes render-blocking CSS request,02d3adc
2026-05-05,image-banner,sections/image-banner.liquid,lazy-load,"Added explicit loading attribute to banner images: eager+fetchpriority=high when section.index==1 (LCP candidate); lazy otherwise",Saves bandwidth on stacked banners below the fold,02d3adc
2026-05-05,image-banner,sections/image-banner.liquid,decoding,"Added decoding=async to both banner image tags",Decodes images off the main thread; reduces TBT during paint,02d3adc
2026-05-05,image-banner,sections/image-banner.liquid,trim-srcset,"Trimmed widths list from '375,550,750,1100,1500,1780,2000,3000,3840' to '375,550,750,1100,1500,1900,2400' (and ambient variant similarly). Drops oversized 4K+ variants",Smaller HTML payload; better Shopify CDN cache hit rate,02d3adc
2026-05-05,slideshow,sections/slideshow.liquid,non-blocking-css,"Converted 4 render-blocking stylesheet_tag calls (section-image-banner, component-slider, component-slideshow, custom-slideshow) to media=print + onload swap with noscript fallback",Removes 4 render-blocking CSS requests on every page that uses slideshow,ffcf942
2026-05-05,slideshow,sections/slideshow.liquid,trim-srcset,"Drastically trimmed desktop srcset from 20 widths (300/400/500/600/700/800/900/1000/1200/1400/1600/1800/1980/2000/2200/2400/2600/2800/3000/3200) to 7 widths (375/550/750/1100/1500/1900/2400). Ambient widths trimmed similarly (3600 dropped)","Massive HTML payload reduction (~70% on srcset); much better Shopify CDN cache hit rate",ffcf942
2026-05-05,slideshow,sections/slideshow.liquid,responsive-mobile,"Mobile <source> now has full srcset (375w/550w/750w) and sizes=100vw instead of single fixed 600px width. Mobile devices now download right-sized image",Saves bandwidth on mobile; better visual quality on retina mobile,ffcf942
2026-05-05,slideshow,sections/slideshow.liquid,consolidate,"Consolidated per-slide overlay <style> tags (one per block) into a single {%- style -%} block at the top of the loop",Fewer style tags emitted; cleaner HTML,ffcf942
2026-05-05,slideshow,sections/slideshow.liquid,robust-defaults,"Added default values for first slide: loading defaults to 'eager', fetch_priority defaults to 'high' if section settings are blank. Previously empty admin fields produced empty attribute values",Prevents broken LCP on stores where admin left these settings unset,ffcf942
2026-05-05,slideshow,sections/slideshow.liquid,bug-fix,"Fixed typo: was image_url width=1900 paired with 1920w descriptor; now uses Shopify image_tag filter which generates correct width/descriptor pairs",Correct image served at 1920w tier,ffcf942
2026-05-05,slideshow,sections/slideshow.liquid,decoding,"Added decoding=async to slideshow image",Off-main-thread image decode; reduced TBT,ffcf942
2026-05-05,footer,sections/footer.liquid,non-blocking-css,"Converted 6 render-blocking stylesheet_tag calls (section-footer, component-newsletter, component-list-menu, component-list-payment, component-list-social, site-footer) to media=print + onload swap with noscript fallback",Removes 6 render-blocking CSS requests on every page,dae11b5
2026-05-05,footer,sections/footer.liquid,bug-fix,"Fixed CSS typo '.2scubic-bezier' → '.2s cubic-bezier(...)' on accordion icon transition (missing space caused the entire transition declaration to be invalid and ignored)",Restores broken accordion icon animation,dae11b5
2026-05-05,footer,sections/footer.liquid,cls-fix,"Added aspect-ratio:564/168 (Google Play badge ratio) on .googleplay-icon img and .appstore-icon img alongside existing height:35px;width:auto. Reserves space before image loads",Prevents footer CLS on app-store icons,dae11b5
2026-05-05,footer,sections/footer.liquid,refactor,"Moved per-link inline <script> for ticket-redirect logic outside the {%- for link -%} loop. Now renders once if any ticket link is present (was duplicated for every matching link). Wrapped in IIFE; cached customer JSON in a local var",Cleaner code; same behavior; smaller HTML when multiple links exist,dae11b5
2026-05-05,footer,sections/footer.liquid,iife,"Wrapped footer accordion <script> in an IIFE and added early-return guard on viewport width",Prevents global scope pollution; same behavior,dae11b5
2026-05-05,footer,sections/footer.liquid,trim-srcset,"Trimmed brand image srcset from 9 widths (50/100/150/200/300/400/550/800/1100) to 5 widths (100/200/400/550/800). Brand image is small and never needs 1100px source",Smaller HTML; better CDN cache hits,dae11b5
2026-05-05,footer,sections/footer.liquid,decoding,"Added decoding=async to brand image",Off-main-thread decode,dae11b5
2026-05-05,footer,sections/footer.liquid,minify,"Tightened inline <style> block: collapsed multi-line rules to single line and removed empty lines",Smaller HTML payload sent on every page,dae11b5
2026-05-05,featured-collection,sections/featured-collection.liquid,non-blocking-css,"Converted 7 render-blocking stylesheet_tag calls (component-card, component-price, component-slider, template-collection, quantity-selector-setup, mask-blobs conditional, quick-add conditional) to media=print + onload swap with single noscript fallback block",Removes up to 7 render-blocking CSS requests on every page that uses a featured collection section,1b8f3a7
2026-05-05,featured-collection,sections/featured-collection.liquid,consolidate,"Merged the standalone <style> block (custom-pdp + custom-collection-page-grid hover rules) into the existing {%- style -%} block. Tightened whitespace.",Smaller HTML payload; one less style tag to parse,1b8f3a7
